#review	#polarity
잠실 놀러올때마다 항상 들립니다~저렴한 가격에 깨끗한 시설이 정말 마음에 드는곳	1
청결하고 오래된 느낌이 들지 않아서 좋았어요!귀걸이를 두고 와서 다시 찾아갔었는데오히려 두고 간 저에게 너무 뭐라고 하셔서기분이 나빠졌네요~다음에 다시는 안 갈 거 같아요~~~두고 간지 1시간만에 전화드리고 바로 찾아갔는데 잘 모르시고 그렇게 답글 남기셔서 다시 한 번 수정을 눌러 글을 남깁니다.제가 체크인을 할 때도 전화로 다른 고객분과 언쟁하고 계셨는데 그도 이와 비슷한 상황일거 같네요.좋은 위치에 자리하고 계셔서 손님에게 친절을 베푸시지 않는거 같은데,저야 다음부터 안 가면 그만이지만 다른 분들이가시고 기분 안 나쁘시길 바라는 마음에서 글 남깁니다.	0
숙박하루지내다가 따듯하니 나가기싫어서 추가로 대실했어요 깔끔하고 아담하고 무엇보다 화장실이 청결한점이 제일 마음에 들었습니다 단점은 방이 좀 많이 건조했다는점 편하게 쉬고갑니다	1
너무 청결하고 갈때마다 느끼는 거지만 너무 좋습니다~!!!^^	1
가격대비 좋아요외관이 주변 모텔에 비해 작아보일 수 있지만관리도 잘 되어있고 좋아요	1
11시 입실인데 9시 반쯤에 들어갔습니다 ^^ 날도 추워서 어떻하나 했는데 친절하게 이용하게 해주셨습니다. 방도 나쁘지 않고 화장실도 깨끗했지만 일회용품을 사야되는거는 조금 아쉽네요 편하게 이용했습니다 하오 추천드립니다	1
스탠다드에서 지냈습니다건물도 깔끔객실도 깔끔욕실도 깔끔참고사항가운이 없음세면도구세트 천원 따로 받음외에는 많이 만족했습니다	1
시설이랑. 청결상태가 좋았습니다 그리고 카운터직원도 매우 착하고 좋았습니다	1
최신식 시설은 아니지만 갖출건 다 갖춰져있고 새로 오픈한건지 엄청 깔끔하고 깨끗해서 기분좋게 놀다가 나왔네요!추천합니다~^^	1
너무 깨끗하고 청결해서 마음에 들었어요~ 다음에 또 올께요~	1
모든게 다 좋았습니다!! 이게 두번째 숙박 리뷰인데첫번째 숙박 때 청결면이나 깨끗한 디자인 등 다 마음에 들었습니다. 그러나 퇴실시간 독촉(?) 으로 인해 조금 불편함을 느껴서 그런 문제점에 대해 리뷰를 남겼었는데두 번째 숙박할때는 독촉(?) 이런것이 전혀 없었습니다! 감사해요 매우 만족스러웠습니다.앞으로 여기만 오고싶네요^^	1
깨끗하고좋네요이불촉감좋아요 폭신하구 고데기도대여해주네요편히쉬다가갑니다~	1
시설 깨끗하고 친철하고 좋은데 처음들어올때 향이 너무 강해요	1
도착하자마자 짐을 풀어서 직접찍은 사진은없지만 사진이랑 똑같아요!! 여기분들 다 친절하시구 깨끗해서 좋네요!	1
방이 깨끗해서 무척이나 좋습니다.냄새도 안나고~잘 쉬었다 가요	1
단골입니다 갈때마다 너무 잘 쉬다 가요~^^ 객실은 물론 전체적으로 아늑하고 깔끔해요^^	1
하얀 인테리어가 가장 인상적이였구요 7+1 이벤트도 하시고 친절하시더군요그리고 무엇보다 쌍화탕을 음료로 먹을수 있는게 센세이션이였어요	1
먼저 거리상으로 석촌호수와 롯데월드,백화점이 가까워 놀거리 다 놀고 바로 들어갈수있어서 너무 좋았어요. 심지어 연휴라서 숙소가 다 비쌌는데, 여기 하오는 가격이 저렴해서 걱정했는데, 리모델링을 했는지 숙소 안 디자인도 괜찮구 화장실도 엄청 깔끔했어요! 방음도 잘 되구요. 위치도 방이동 먹자골목에 있는지라 편의시설들도 다 바로 있구 편리했습니다. 퇴실도 다음날 오후 1시라 푹~쉬구 근처 국밥먹구 갔네요. 단점이라고는, 건물이 높아서 방이 8층이였는데,올라가고 내려가고 시간이 좀 걸리지만 엘리베이터가 있으니 딱히 문제없었습니다!	1
방이 깨끗한데 확실히 공기가 답답하네요.. 문열고 자면 좀 괜찮을 듯 그것빼고 이쁘네요	1
카운터 사람들 완전 불친철하고 말투도 불친절하네요 저라면 다른곳을 가겠어요	0
샴푸 린스가 엘라스틴이라 너무 좋았어요! 덕분에 머릿결도 좋아지고~ 여자친구랑 좋은 추억 남기고갑니다!! 주인분도 너무 친절하시고!! 객실도 깔끔하고 좋았어요~ 다음에 또오고싶은곳입니다!!	1
정말깔끔 하고 좋았어요영화도 최신영화 볼수 있구욕실 물도 잘나와서 최고였습니다엄청싼것에 비해 좋은 시설 이용해서 기분이 좋았습니다!!	1
객실에 바퀴벌레있는 모텔은 처음이네요 어디서 나온건지 진짜 구역질나네요	0
어플로 예약하여 시설 이용했습니다. 시설 이용시에 가장 먼저 보는 것이 청결인데, 깨끗하게 정리되서 기분이 좋았습니다. 인테리어도 깔끔하게 필요한 것만 있고 전체적으로 하얀 색감이 좋았습니다. 착한 가격에 좋은 시설 이용했습니다!	1
인테리어도 좋고 실내도 깔끔하고 분위기도 좋았습니다. 아쉬운 점이 있다면 화장실 샤워기 수압이 너무 강해서 피부에 닿을 때 아팠고 배게가 너무 높아서 불편했습니다. 전반적으로 만족합니다.	1
자주가는곳입니다여행가기전날 들렸는데 역시나 잘쉬다갑니다~수고하세요~	1
넓고 깨끗해서 진짜 좋았어요^^ 물 수압도 세서 맘에 들어요! 그리고 로비에 키드오 과자도 넘 맛있게 잘먹었습니다~~! 담에 또 이용하러올게요!	1
지금 들어와있습니다. 전체적으로 만족합니다. 방크기 오케이. 가격 오케이	1
시설.청결.서비스 모두 최고 그 중에서도 마일리지 시스템이 최고 하오 모텔 처음 간 후 항상 여기만 이용하고 있습니다 거의 숙박 후 대실연장까지 꾸준히 이용하고있죠	1
모던한디자인에 적당한크기, 방음도나쁘지않았던 숙소였습니다. 담배냄새도 없고. 물도잘나오구요. 컴퓨터는 사용하질않아서 잘모르겠으나 나머지시설은 깔끔하게 정리되어있었습니다. 다만 11시까지 예약했는데 10 30분에 지금바로빼달라는 전화는 조금 아쉬웠네요. 그래도 아쉬웠다뿐이지 친절하게 응대해주셨습니다. 다음에도 다시이용할 생각입니다	1
11시 입실이었고 낮에는 대실로 돌리는 거 알고 있습니다. 그래도 30분이라도 먼저 들어갈수 있을까 전화로 문의 드렸는데 남자분이 훈계하는 말투로 말씀하셔서 기분이 상했습니다. 글 작업 때문에 다른 곳도 종종 빌려봐서 무한대실 시스템은 잘 알고 있습니다. 들어가자마자 방향제 냄새로 숨쉬기 어려웠고요. 새벽 3시쯤 바퀴벌레가 나왔습니다. 신경 좀 써주세요	0
두번째 방문인데 깔끔하게 잘다녀왔습니다수선만 4개면 더좋을거같네요	1
단골이예요~~ 객실내부 인테리어도 호텔 같고 깔끔해서 너무좋았어요	1
침대가 조금 딱딱했는데 친절하고 좋았어요~ 저렴한 가격에 깔끔하고 좋았어요!	1
사진이랑 완전 달랐어요 진짜 담배냄새 대박이고 화장실에서는 오줌냄새났어요	0
청결도도 좋고 깨끗합니다 마일리지제도가 참좋아요 항상애용하고있습니다~~	1
좋아요 매일 이용하고싶어요 청소를 조금만더 청결하게 해주시면 좋을거같습니다	1
잠실 갈때마다 자주 애용하는 곳이에요~ 사장님도 친절하시고 객실도 엄청 깔끔해요!	1
가격대비 훌륭해요!깔끔했습니다다만 수건이 더 많으면 좋겠네요~	1
스탠다드 이용했는데 방이 너무 작아서 불편했어요청결과 인테리어는 만족합니다	1
굿뜨 좋아요 깔끔 하지만 수건이 너무 오래 된게 티가나오	1
사장님이 친절하셨구요..방도 업그레이드.해주셔서 아주 잘 쉬고 나왔어요..옆지기도 아주 좋아하더라구요.. ^^	1
또 가고싶은 곳이에요 아마 매주 아니 격주로 이용하지않을까 싶네요	1
숙박하게 될때마다 이곳에서 묵고있는데 올때마다 엄청 깨끗해서 정말 기분좋게 쉬다 갑니다다음에도 이곳으로 오게될거같아요	1
벌레가 갑자기 나온거 말고는 좋았습니다 벌레보고 너무 놀랐네요......	1
또 좋은 추억남기고갑니다 항상 이가격 유지해주시면감사하겠습니다굿	1
다녀간지는 좀 됐지만 늦게나마 후기 남깁니다일단 청결상태가 너무 엉망이고 침구며 가구 테이블 밑 먼지 등 너무 심합니다. 청결 신경써주시면 다음에 또 이용할 생각있네요	0
숙박하면서 옷을 두고와서 퇴실한 그날에 전화해서여쭤보니 그방이나와야알수있다그러고 청소하시는 분들에게 물어보고 연락준다면서 연락처랑 성함물어보더니 다시전화하니깐 받지도않으시고 연락도안오고 이게뭡니까 어짜피 퇴실하면 바로치우시는데 없으면없다 있으면있다 연락을 주셔야죠 참 이런덴 처음이네요	0
항상 여기만 갑니다 모탤자체적으로 포인트적립 시설은 말할나위없이 깨끗하구요	1
역시나 푹 잘쉬다 갑니다~♡컴퓨터도 잘되었고, 티비도 이상없이 잘나왔어요♡욕실 뜨건물도 두말할거 없이 잘나왔구요~!다좋았는데 706호 안드로이드 충전잭 하나가망가져있는것 같아요 충전이 안됩니다확인부탁드려요~~^^	1
방이동에 자주 놀러가는데 가격대비 시설이 너무 좋아요. 화장실도 객실이랑 확실히 분리되어 있어서 볼일도 맘편하게 볼 수 있고 전체적으로 깔끔한 내외부 모습에 기분 좋게 이용하였습니다.	1
다시 이용했지만 쉬다가기 좋구요 직원분들도 친절하십니다 잘이용했습니다	1
외출시 키를 맡기는건 좀 불편한데 가격이랑 입실, 퇴실 시간 다 마음에 들어요. 핸드폰 놓고 놔와서 걱정했는데 잘 챙겨주시는 친절함에 또 감동함	1
자주가는곳입니다 리모델링해서깔끔하고 좋은데 6층이면 수압이마니약해요 그것만빼면 다좋습니다~	1
방도 깔끔하고 일하시는분도 친절하셔서 기분좋게 다녀갑니다.	1
시설 새로인테리어를햇는 깔끔햇구요 티비두크구 청소도잘되어잇더라구요 에어컨소음도없구 푹쉬다갈게여	1
주차관련해서 좀 불편을 격긴했습니다만 숙소자체는 괜찮았습니다.	1
시설은 깨끗하고 인테리어도 괜찮습니다.하지만 평점이 조금 이해 안되는 점이 몇가지 있더군요. 우선 들어갈때 일회용품 1천원에 파는것이 좀 그랬고요. 친절한 느낌은 못 받았습니다. 방에 들어가니까 이상한 냄새가 나서 에어컨틀고 환기좀 시켜야했고요. 아무래도 방에 방향제좀 두셔야할거같네요. 그리고 샤워기 수압이 너무 약합니다	0
시설도깨끗함도가격도이모든게 최고이고사장님도 친절하세요~전이미 단골입니다♡	1
침대가 정말 구름에 떠있는것처럼 푹신해서 나가기 싫을정도였어요 다음에 또 이용할 생각입니다 깨끗해요	1
아주머니가 아주 친절했습니다 1층에 다과도 맛있고 많이 갖고 가도 눈치도 안주고방도 인테리어가 아늑하고 화장실이 깔끔해서 좋았습니다 단점은 물 수압이 낮았습니다 끝!	1
제가 가본 몇군데가 있는데 그 중 좋은곳에 속해요. 이정도면 몇번 가고 쿠폰쌓아서 꽁자로도 갈것같아요	1
좋아용 깨끗해용 근데 침대가 쬐에큼 딱딱하긴한데 그래도 청결해서좋습니당	1
시설 청결 서비스 모두 만족스러운 상태였어요딱히 불만도 없고 다음에 잠실오면 애용할 예정입니다!	1
시설 및 직원 분이 너무 친철하셨습니다!!! 다만 아쉬운 점이 있다면,, 에어컨이 엄청 시원하지는 않았다는점????아무튼 편안하게 잘 쉬고 갑니다!	1
처음 가봤는데 서비스도 너무좋고 시설이 너무깨끗하고 좋아요 꼭가보세요	1
스탠다드 대실 예약했는데 디럭스로 무료 업그레이드해주셨어요~ 화장실이랑 방 사이에 문이있어서 너무좋았어요! 전체적으로 다 깔끔했어요 침대가 좀 딱딱한편이어서 그거가 쪼금 아쉬웠지만 대체적으로 좋았습니다! 잠실역에서 걸어가면 10분이면 도착해서 위치도 좋았어요~	1
시설은 굿 다좋았어요 근데 퇴실 15분전인데 너무 보채시네요 시간이남았는데 만석이라고 빨리나오라고하는거는 이해가않되고 불쾌했습니다 그래도 시설은 좋았어요	1
깨끗하고 아담하고 욕실도 넓고가격대비 저렴하게 대실을 빌려너무 좋았습니다	1
친절하신 사장님깨끗한 시설따뜻한물 콸콸가격대비 최고 입니다단골 됐어요^^	1
시설이나 청결도 매우만족침구도 뽀송뽀송해요~~~~가격도 저렴하구요!자주 이용하는 곳입니다	1
금액대비 모든게 만족스러웠습니다.근처가게 될시 다시 방문하겠습니다.감사합니다	1
내부 시설이 깨끗하여 좋았으나 외출시 키를 카운터에 맡겨야하는게 왠지모르게 찝찝했습니다	1
창문이 없어서 조금 답답하긴 하지만 무지 깨끗하고 좋습니당 만족해요~~	1
너무너무 만족합니다항상 별표점수 ☆☆☆☆☆ 만점 다섯개 모두 드리네요,착한가격과 친절한 서비스~^^게다가 7번 이용시, 호텔자체 마일리지를 적립해주어 한번더 무료 숙박혜택도 드린다고 합니다!이러니 안갈수가 있나요~~수압이 좋아서 뜨건물도 콸콸 잘나오구요!!청결상태역시 굿~~ 입니다!요즘 자주 이용하는 단골이에요♡앞으로도 변함없는 가격과 서비스 잘 부탁드려요옹^^	1
청소 상태는 좋았고 깔끔했어요다만 객실 내부에 담배냄새가 좀 배어 있었어요가운이 바치되어 있지 않아서프런트로 내려가 받아왔구요~특별히 불편한 점은 없이 잘 쉬다왔습니다!	1
남자사장님이 친절하셨어요 방이 생각보다 컸어요 무지 작을지 알았는뎅 ...깔끔했어요	1
정말 좋았습니다 너무 청결해요!그리고 사장님께서 친절하게 대해주셔서 더 만족스러웠습니다!!^^	1
깨끗해요 방음도 잘되고요!매번 방이동 오면 이용하는 곳입니다!사장님도 친절하시고 좋네요!	1
시설좋구 과자많고 헛개도있고 주차되고 친절해요 가성비최고예요~~^^!	1
좋았어요아늑하고 전체적으로 방도 깨끗해서 잠깐 머무르기좋았던곳	1
지금들어와잇는데 매우 깨끗하고 시설도 좋습니다 살짝 좁은게 흠이지만 일찍입실할수잇는게 너무 좋네요!	1
아주머니 친절하셨고 화장실도 깨끗한데 수압이 좀 약하구요잘 쉬다갑니당 !!!!	1
사장님 숙소청결 모두 좋네요. 자주 이용하겠습니다감사합니다	1
사장님이 7번마다 무료라고 하셔서 좀 친절해서 좋았습니다. 2번째 방문중인데. 우선은 가격대가 저렴하며 대실시간을 많이주셔서 좋았습니다. 그래서 또오게되네여	1
대실로 처음 이용한이후 너무 마음에 들어서 숙박도 이용했어요^^대실때 이불이 푹신푹신 너무좋았는데숙박때는 얇은이불여서 조금 아쉬웠지만깨끗하고 넓고 친절하시구마음에 들어서 앞으로 방이동은 여기로 하려구요!	1
깔끔하고 시설도 괜찮은데 사장님이 조금 불친절합니다 가끔오긴했으나 별로 다시오고싶은맘은 없네요	1
너무 청결하고 좋네요 가성비갑진짜로 강추합니다!!!!!!	1
너무깔끔하고 좋아요 물론 말하면 가운을 가져다 주시지만 가운이 객실에 배치되있었으면 더 좋았을거 같아요	1
방도 적당하고 깨끗하고 아쉬운점이 있다면 침대가 딱딱하다는가 말고는 모든게 좋습니다	1
화장실도 넓고 청결상태도 좋네용 가격대비 완전 만족해요!	1
벌써 세번째 이용인데 너무 깔끔하고 좋습니다숙박1시 퇴실이라 1시부터 7시까지 대실 6시간 또 결제했어요. 연장하겠습니다 이글보시면 수건 4장만더 가져다 주세요~~^^-205호	1
깨끗하고 청결해서 좋아요가운은 없습니다 참고로냉장고에 음료수는 한 캔 생수2개 있구요담배냄새 없어서 좋아요	1
깨끗하고 좋아요 자주이용할게요 과자도 있고 리모델링해서 전체적으로 분위기도 좋고 청결도 좋아요~~!!	1
자체적으로 적립해주는것도 너무좋고 너무 깔끔해서 너무 좋아요	1
방은 크지않지만 깨끗하네요 욕실도 깨끗하고..여자 사장님은 친절해요..	1
벌써 7번이나 가서 다음에는 무료로 이용하네요~ 앞으로도 많이 이용할게요~~! ^^	1
수건이 하나가 부족해서 마치 대실쓰고 남은방 같았지만 저렴하고 방은 깨끗하고 욕실도 깔끔하고 케라시스를 쓰시는점이 상당히 좋았어요~	1
시설이나 청결도 및 친절도는 매우 만족했습니다. 다만 9층쪽은 약간 천장이 낮네요.	1
레알 여기가 답입니다다음에 또오고 싶을정도로 시설도좋고직원분들도 착하시고다음에 또올게요	1
두번째 방문 했습니다~!깔끔하고 쾌적한 곳에서좋은가격에 잘쉬었다 갑니다또 올께요~^^	1
가성비 끝판 호텔!!일주일도 안되서 다시 찾게되는 그곳♡카운터에서 번호 뒤에 4자리를 등록하시면..7번 방문시 1회 무료방문이 된다 하네요^^오늘도 갑니다~	1
예약하고 많이 늦은 시간에 입실했는데도 친절하게 받아주셨어요~방상태도 좋았구요~	1
매번가는데 적당한 가격에 깔끔해서이용하기 매우좋아요매우추천!!	1
민증검사두 확실하게하시구 사장님도 친절하셔요방도 깨끗해서 잘이용했습니다번창하세요^^	1
좋아요 깔끔하고 고데기도 빌릴 수 있고저렴하게 잘 쉬다갑니다아아	1
앞에서 칫솔같은거는 따로 구입하셔야해요~~인테리어 진짜 깔끔하고 좋았어요!샴푸랑도 케라시스 이고 너무 깔끔해서 좋았어요~	1
시설 청결 서비스 다 좋앗습니다 리모델링 한거같이 엄청 깨끗하고 좋았습니다!!리모컨으로 불이 안켜지는거빼고는 다 좋았습니다~~	1
늘 예약하는 곳인데 사장님도 친절하고 방이 깨끗해서 좋아요 냄새도 안나고요	1
가성비 매우 좋은숙소입니다~ 편리한 위치에 깔끔하고 필요한 비품이 잘 비치되어 있네요 재방문 의하 있습니다^^	1
시설이 고급지고 깔금합니다. 하지만 담배냄새가 나는거는 좀 아쉽네요 화장실 시설도 정말 깔끔하고 에어컨도 빵빵하네요 그리고 무엇보다도 사장님이 친철하셔서 좋네요 강추!!!	1
새로 리모델링해서 시설깔끔하니좋아요~수압약한것만빼고 다좋아요~^^	1
처음 이용해 봤는데 정말 깔끔하고 되게 좋았아요!!게다가 7번 이용시 한번 무료라 하셔서 여기만 이용할듯 싶네요...:)	1
이틀 전 숙박 이용했는데 청결하고 가격도 괜찮고 해서 어제 한번 더 숙박 이용하고 추가로 시간 연장 까지 했습니다. 이 정도면 시설에 대해 매우 만족한 결과라고 볼 수 있죠.  문제는 제가 물건을 하나 두고 와서 전화로 여쭈어봤을 때인데 두고 나온 저도 잘못이 있지만 전화 받으시는 분의 목소리가 너무 퉁명스럽더군요저는 죄송하다 몇번이고 얘기를 했구요, 제가 썼던 방은 바로 대실이용객이 있다고 했는데 그러면 제가 나가고 나서 방을 치울때 분실물 확인이 됐을텐데 귀찮다는 듯 얘기하고 전화 하다가 팍! 하고 끊어버리더라구요 그때부터 화가나서 리뷰작성합니다. 다른 리뷰들 보면 친절하다는 내용 많던데 저는 전혀 모르겠네요. 제가 두번이나 전화해서 화가나셨나요? 앞으로 이용할 생각 없습니다. 살면서 처음 써보는 리뷰가 불만 가득이라 유감이네요.	0
안내해주시는분도 친절하고 방도 깨끗하고 좋았어요. 다음에 오게되면 다른곳 말고 여기로 와야겠네요~	1
청결 상태는 좋아서 어디든지 잠을자는곳은 항상 깨긋해야한다고 생각하고있는데 무엇보다 청결상태가 좋아서 좋았어요^^	1
전체적으로 괜찮았음!! 사장님도 친절하고 또 올 의향있어요!!	1
솔직히 전날 근처 다른곳에서 일박을 하고 온 후라별기대 안하고 왔는데깔끔하고 청결함에 깜짝 놀랐어요호텔이네요 최고에요너무 기분좋게 잘수있을듯요기분좋아서 들오자마자 평남깁니다	1
다른리뷰대로 수압이 좀약하긴햇지만 저렴한가격에 잘이용하고갑니다	1
대박!!!!!금액대비!!!!!!청결!!!!!깔끔!!!!!	1
시설은 어느 모텔 뒤쳐지지않고 편리합니다 인테리어는 깔끔한 무채색 모노톤 이여서 차분한 분위기가 맘에듭니다. 객실은 항상 청결유지를 신경쓰고 있는게 보일만큼 깔끔하고 깨끗합니다 욕실이 아주깨끗하고 환풍기도 잘돌아갑니다 또 프론트도 친절하고 과자랑 따뜻한 쌍화탕을 비치해놓으신 센스에 감격! 가성비로는 이만한 곳이 없을것 같습니다!	1
청결상태 친절함 모두 좋았습니다.근처에 있다면 재방문의사 100프로입니다.	1
방음이 안좋고 수압이 낮았던 거 빼곤 다 좋았어요.침대도 깨끗했고 화장실도 깨끗했습니다.가격대비 문안한 호텔이었습니다.	1
리모델링을 한 것인지 시설 너무너무 좋구요 모두 다 새것같아서 진짜 좋았어요 너무 깔끔하고 냄새도 안나고 청결하네요 앞으로 자주 애용할것같아용	1
다른리뷰처럼 샤워기 수압이 좀 낮은게 흠이라면 흠이네요예전기억에 새건물냄새가났겅거같은데 이젠전혀없어요깔끔하고 사장님도 친절하고 잘 묵다가갑니다재방문의사 충분합니다.	1
시설 깔끔하고 주인도 집적 주차까지 알아서 해주셔서 별걱정없이 쉬다가요	1
깨끗하고 편안해서 좋았어요 화장실도맘에들었고 영화보러고 유에스비에 담아갔는데 연결안된것만빼면 다좋았어요	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 시설 좋은 호텔입니다 하루 숙박대실 강추합니다	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 시설 좋은 호텔입니다 하루 숙박대실 강추합니다	1
여자친구와 놀러왔지만 이 근방에 잠깐 쉬러오는 곳은 여기가 제일 좋다고 자부합니다~ 안내해주시는분도 친절하고 객실 인테리어도 맘에 들었을뿐더러 청결상태도 양호했어요! 또 근방으로 오게되면 무조건 하오입니다 하오!	1
다 좋았습니다 좋아요좋아요다만 침대청결상태좀 조금만더관리해주세요잘쉬다갑니다	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 시설의 호텔입니다 하루 숙박대실 강추합니다 감사합니다	1
넘 좋고 직원분도 친절하셔서. 다음에도 이용하고싶어요 침대도 깨끗하고 좋아요!!!!!!!!!	1
리모델링한곳인듯 합니다 깔끔했고 방사이즈도 적당해서 좋았습니다	1
와우 가격 대비 완전 굿입니다!리모델링 한지 얼마 안된거 같구요너무 깔끔하고 깨끗해서 좋습니다.다음에 잠실쪽 오면 무조건 다시 방문입니다.무엇보다 사장님께서 자체 서비스를 해주고 있습니다. 대실 일곱번 이용하면 한번 무료 이벤트입니다!! 번호만 알려주시면 가능하다고 합니다.	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 시설 좋은 호텔입니다 하루 숙박대실 강추합니다	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 시설의 호텔입니다 강추합니다	1
들어왔을때 담배냄새 않나서 좋아요깨끗해요!!!!!!! 방 분위기도 아늑함!	1
생각보다 작아요 객실이..사진과 많이 다릅니다가성비는 크게 좋지 않음	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 시설 좋은 호텔입니다 강추합니다	1
가격도 저렴하고 새단장해서 너무 깨끗해요 !!또 따로 7번 오면 한번은 무료라고 하니까 자주 갈 것 같습니다 >.<	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 시설 좋은호텔입니다 강추합니다	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 시설 좋은 호텔입니다 강추합니다	1
늘 이용하지만 청결상태가 넘 좋아요~많은 분들께 적극 추천합니다	1
방금 문의드릴려고 저나햇는데 주중 무한대실 이라더니 그런건 아니라고 하시네요그럼 그런 홍보는 안하시는게 맞는것같아요	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 호텔입니다 강추합니다	1
주변 타 시설중 깔끔한편이고 시간도 잘 지켜졌슺니다. 만족합니다.	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모델링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 호텔입니다 강추합니다	1
일반실 신청했는데 특실로 주셔서 특실쓰네요~다음에 또 올게요	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 호텔입니다 강추합니다	1
주변 모텔중 가장 가성비가 좋음. 싼가격에도 시설은 좋음	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모델링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 호텔입니다 강추합니다	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 호텔입니다 강추합니다	1
사장님도친절하고 시설도 깨끗하고 냄새도안나고 가격도 저렴하고 좋아요1	1
방이동 최고의 비지니스호텔입니다 북유럽스타일 건물내부와 설비시설까지 리모델링한 스마트호텔입니다 깨끗하고 친절하고 시설 좋고 강추합니다	1
굉장히 깔끔하고 쾌적합니다. 이상한 냄새도 없고, 이 가격대에서는 이것보다 좋기 힘들 것 같을 정도네요!침대는 제법 커서, 둘이서 뒹굴거려도 떨어질 걱정이 없었습니다.방에 설치되어 있는 와이파이도 피시방 정도로 빠른 것 같습니다. 끊기는 것도 없고 만족스러웠어요.화장실도 깨끗하고, 무엇보다 수압이 적당히 세고 따뜻한 물도 잘 나온다는 점이 좋았습니다. 욕조까지 있어서 편했어요.다음에 또 잠실에 오면 이곳을 이용하고 싶네요.	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비끼지 리모델링한 스마트호텔입니다 깨끗하고 친절하고 좋은 호텔입니다 강추합니다	1
두번째 방문입니다~저번에 왔을때 깨끗하고 좋았는데 이번에도 역시 좋네요	1
주인 아주머니 친절하시고 좋습니다^^시설도 새로 리모델링해서 깨끗하구요~~추천입니다	1
7회가면 1회무료 항상 감사히 잘사용하고있습니다.다음에또갈께요	1
깨끗한곳 찾고 있었는데 너무 깨끗해서 만족 했어요^^ 숙소도 찾기 쉬웠고 카운터 분도 너무 친절하셨어요~^^	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 깨끗하고 친절하고 좋은 강추합니다	1
방음이 좀 안되긴 했지만 시설 좋고 가격도 저렴해서 만족했어요~	1
시설 깨끗하고 깔끔하네요사장님도 친절하시고 자주올거같아요	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모델링한 스마트호텔 깨끗하고 친절하고 강추합니다	1
리모델링 한지 얼마 안 되어 깨끗하고수압도 세어서 좋았어요.	1
사장님 찬절하시고 객실상태 좋습니다!그리고 7번이용할시 1번 공짜라네요!	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모델링한 스마트호텔 깨끗하고 친절하고 강추합니다	1
깨끗하고 사장님도 너무친절하세요 모르는거 여쭤보니까 너무 친절하게 잘 알려주시고 무엇보다 인테리어가 너무이쁘네요!	1
새로 인테리어 했는지 시설도 깨끗하고 직원분들도 친절하셨어요~~~	1
방이동 최고의 비지니스호텔입니다 건무내부 및 설비까지 리모텔링한 북유럽스타일의 스마트호텔 입니다 강추합니다	1
방이동 최고의 비지니스호텔입니다 북유럽스타일 건물내부와 설비시설까지 리모델링한 스마트호텔입니다 강추합니다	1
최근 리모델링해서 깔끔하고 좋아요!! 숙박가격도저렴하고 굿굿	1
새로 리모델링해서 그런지 깔끔하고 좋았습니다다만 컴퓨터가 계속 재부팅 된다는 것과 화장실에 머리카락뭉치가 있어 보기 좋지 않았던 것이 아쉽습니다	1
방이동 최고의 비지니스호텔입니다 북유럽스타일 건물내부와 설비시설까지 리모델링한 스마트호텔입니다 강추합니다	1
